ID,Epic,Title,User Story,Priority,Evidence Status,Proposed Release,Source Trace,Acceptance Criteria,Dependencies,Notes,Status,Owner,Estimate
DISC-01,Discovery and product definition,Benchmark representative CRM products,"As the product team, I want to compare representative CRM products and their commonly used features, so that we can make evidence-based scope decisions rather than copying the inherited interface.",Must,Confirmed,Sprint 0,Transcript 51-71 and 823-829,"The team agrees an evaluation matrix covering core records, sales workflow, activities, security, reporting, integrations and AI capabilities. | Each team member reviews one or two agreed CRM products and records findings in the shared repository. | The team produces a consolidated feature map and identifies the gap between the starter system and the proposed MVP.",None identified,"The comparison set is deliberately not fixed in this draft; the client mentioned Salesforce, Zoho and SugarCRM as examples.",Draft,,
DISC-02,Discovery and product definition,Audit the starter CRM repository,"As the development team, I want to run and inspect Peter’s starter CRM and classify each capability as working, partial, placeholder or missing, so that we can reuse valuable code without assuming incomplete screens are functional.",Must,Confirmed,Sprint 0,"Transcript 29-55, 101-107, 176-208 and 456-473","A new developer can run the application using documented steps. | The audit inventories screens, APIs, database tables, migrations, tests and known defects. | Every inherited feature is marked working, partial, placeholder, missing or intentionally excluded. | Any Salesforce branding, copied visual assets or look-and-feel dependencies are identified for removal.",Access to Peter’s public Bootstrap repository,,Draft,,
DISC-03,Discovery and product definition,Confirm the MVP and reference business context,"As the product owner, I want to select the MVP outcome and a reference business context, so that the team can prioritise a coherent product instead of building a generic collection of screens.",Must,Confirmed need; decision pending,Sprint 0,Transcript 496-504 and 711-829,"The product owner confirms whether the MVP is a generic sales CRM, a service-business CRM, or a generic core demonstrated through a specific vertical. | The agreed MVP explicitly lists in-scope, out-of-scope and later capabilities. | The team records measurable acceptance outcomes for the end-of-project demonstration.",Product-owner decision,,Draft,,
DISC-04,Discovery and product definition,Create a CRM data dictionary,"As the product team, I want to define each core entity, relationship, required field, status and business rule, so that developers and clients use the same terminology and validation rules.",Must,Confirmed,Sprint 0,Project background lines 1-4; Transcript 63-126 and 625-642,"The dictionary covers at least accounts, contacts, leads, opportunities, tasks and events. | Relationships, cardinalities and ownership rules are documented. | Required fields, validation rules and lifecycle statuses are marked as confirmed or awaiting product-owner confirmation.",None identified,,Draft,,
DEL-01,Delivery enablement,Establish GitHub workflow and project memory,"As the student team, I want to use a shared repository, individual branches and durable Markdown project memory, so that human and AI-assisted work remains coordinated and reviewable.",Must,Confirmed,Sprint 0,Transcript 397-430 and 575-680,"The repository has a protected main branch and a documented branch/PR convention. | Each member has a documented skills/workflow or member-memory file using the provided template. | Decisions, client answers and architectural changes are written to the repository rather than remaining only in chat. | At least one teammate reviews every merge to main.",GitHub repository access,,Draft,,
DEL-02,Delivery enablement,Create a reproducible local environment and CI baseline,"As a developer, I want to start the database, API and user interface using documented commands, so that the system behaves consistently across team laptops and pull requests.",Must,Proposed from transcript architecture discussion,Sprint 0,Transcript 447-450,A clean checkout can be started using one documented workflow. | Database migrations run automatically or through a single documented command. | CI performs at least formatting/linting and automated tests on pull requests. | Secrets and local configuration are excluded from version control and represented by an example environment file.,Architecture choice may alter exact tooling,,Draft,,
DEL-03,Delivery enablement,Provide safe demonstration data,"As the development team, I want to seed realistic synthetic CRM data, so that features can be tested and demonstrated without exposing client information.",Should,Proposed quality control,Sprint 0,Inferred; transcript describes legacy client data,The seed dataset contains linked examples for every MVP entity. | No real personal or commercially sensitive client data is included. | The dataset can be reset repeatably for tests and demonstrations.,None identified,,Draft,,
DEL-04,Delivery enablement,Select the implementation architecture,"As the development team, I want to evaluate the inherited Python server-rendered approach, React with a Python API, and React with a Go API, so that the team commits to an architecture based on delivery risk, learning value and maintainability.",Must,Confirmed options; decision pending,Sprint 0,"Transcript 218-250, 431-450 and 745-757","The team verifies the actual starter stack because the transcript references both FastAPI and Flask/Jinja-like rendering. | A short spike evaluates reuse, team skills, delivery time, testing, deployment, API completeness and AI integration. | The selected option and rejected alternatives are recorded in an architecture decision record.",Starter-code audit and team skills inventory,,Draft,,
ACC-01,Accounts and contacts,Create and maintain accounts,"As a CRM user, I want to create, view, edit, list and archive an account representing an organisation or other entity, so that I can maintain the organisations with which the business interacts.",Must,Confirmed,MVP 1,Project background line 4; Transcript 625-642,Account name is required and a stable unique identifier is generated. | The user can view and edit account details and can archive an account without losing its history. | Archived accounts are excluded from default active lists but remain retrievable by authorised users.,None identified,,Draft,,
CON-01,Accounts and contacts,Create and maintain contacts,"As a CRM user, I want to create, view, edit, list and archive an individual contact, so that I can maintain the people with whom the business communicates.",Must,Confirmed,MVP 1,Project background line 4; Transcript 63-79 and 625-642,"A contact can be created with a name and optional communication details. | The user can view, edit and archive the contact. | The contact page displays its related account when one is linked.",None identified,,Draft,,
CON-02,Accounts and contacts,Link contacts to accounts,"As a CRM user, I want to link a contact to an existing account while allowing a contact to exist without one, so that the system represents organisations, sole traders and unassociated individuals correctly.",Must,Confirmed,MVP 1,Transcript 63-79 and 625-642,The account field supports lookup and selection of an existing active account. | Multiple contacts can be linked to one account. | A contact may be saved without an account when business rules permit it. | Changing or removing the relationship does not delete either record.,ACC-01 and CON-01,,Draft,,
ACC-02,Accounts and contacts,Search accounts and contacts,"As a CRM user, I want to search accounts and contacts by partial identifying information, so that I can quickly find and link the correct record.",Must,Confirmed through lookup demonstrations,MVP 1,"Transcript 21-27, 63-79 and 127-140",Search returns relevant active records by partial name and other agreed identifiers. | Lookup results distinguish records sufficiently to avoid selecting the wrong organisation or person. | The same lookup behaviour is reusable from related-record forms.,None identified,,Draft,,
ACC-03,Accounts and contacts,View a connected customer record,"As a CRM user, I want to see an account or contact together with related contacts, opportunities, tasks, events and notes, so that I can understand the relationship and interaction history without navigating many disconnected pages.",Must,Confirmed,MVP 1,Transcript 154-180,The account view lists linked contacts and open activities. | The contact view shows the linked account and its own activities. | Related items link to their detail pages and respect access permissions.,Core entity and activity stories,,Draft,,
ACC-04,Accounts and contacts,Warn about likely duplicate records,"As a CRM user, I want to receive a warning when a likely duplicate account or contact is entered, so that the CRM avoids fragmented histories and unreliable reporting.",Should,Proposed,MVP 2,Inferred data-quality need,The system checks agreed matching fields before creating a record. | The user can inspect possible matches and choose an existing record or continue with justification. | The warning does not silently merge or discard data.,None identified,,Draft,,
LEAD-01,Leads and qualification,Create and maintain leads,"As a sales user, I want to record and update a potential customer or enquiry as a lead, so that new business interest is captured before it becomes an established account or opportunity.",Must,Confirmed,MVP 1,Project background line 4; Transcript 79-101,"The user can create, view, edit, list and archive a lead. | A lead stores the person, organisation name when known, communication details and agreed source/status fields. | Required fields and validation errors are clearly displayed.",None identified,,Draft,,
LEAD-02,Leads and qualification,Represent a lead from an existing or new organisation,"As a sales user, I want to link a lead to an existing account or record a new organisation name, so that both new prospects and new contacts within known organisations can be handled.",Must,Confirmed,MVP 1,Transcript 85-104,The user can search and select an existing account for the lead. | The user can instead enter an organisation that does not yet exist as an account. | The system makes the two states clear and does not create an account until the agreed conversion step.,ACC-01 and ACC-02,,Draft,,
LEAD-03,Leads and qualification,Qualify or disqualify a lead,"As a sales user, I want to move a lead through agreed qualification statuses and record the outcome, so that the team can distinguish actionable prospects from unqualified enquiries.",Must,Confirmed concept; statuses pending,MVP 1,Transcript 101-125,The product owner approves the lead statuses and required transition information. | A user can update the status and add dated qualification notes. | A disqualified lead requires an agreed reason and remains in history.,Data dictionary approval,,Draft,,
LEAD-04,Leads and qualification,Convert a qualified lead,"As a sales user, I want to convert a qualified lead into linked account, contact and opportunity records, so that validated interest can progress without re-entering information or creating duplicates.",Should,Proposed from described flow,MVP 2,Transcript 90-105,"The user reviews proposed account, contact and opportunity data before conversion. | Existing account/contact records can be selected instead of creating duplicates. | Conversion succeeds atomically or leaves the original data unchanged with a clear error. | The converted lead retains links to the resulting records.","Accounts, contacts and opportunities",,Draft,,
OPP-01,Opportunities and pipeline,Create and maintain opportunities,"As a sales user, I want to create, view, edit, list and close a specific potential sale, so that the business can manage work that may result in an order.",Must,Confirmed,MVP 1,Project background line 4; Transcript 95-125,"An opportunity has a name, stage, expected close date and agreed relationship fields. | The user can link the opportunity to an existing account and, where required, a contact. | The user can view, edit and close the opportunity as won, lost or another approved terminal state.",None identified,,Draft,,
OPP-02,Opportunities and pipeline,Validate expected close date,"As a sales user, I want to record when an order is expected and receive clear validation, so that the pipeline reflects the expected timing of sales.",Must,Confirmed,MVP 1,Transcript 107-115,Expected close date is required for active opportunities unless the product owner approves an exception. | The form explains that the date represents the expected order/closure date. | Invalid or inconsistent dates produce actionable validation messages.,OPP-01,,Draft,,
OPP-03,Opportunities and pipeline,Progress opportunities through sales stages,"As a sales user, I want to update an opportunity through agreed prospecting, qualification and closing stages, so that the team can understand and manage the sales process consistently.",Must,Confirmed concept; stage list pending,MVP 1,Transcript 101-125,"The product owner approves stage names, order and any required transition fields. | The current stage is visible in lists and details. | Stage changes are timestamped and retained in history.",Data dictionary approval,,Draft,,
OPP-04,Opportunities and pipeline,See opportunity relationships and activities,"As a sales user, I want to see the opportunity’s account, contact, tasks, events, notes and later quotes in one view, so that I can manage the sale with its complete context.",Must,Confirmed,MVP 1,Transcript 154-180,"The detail view shows all related MVP records and open activities. | Closed/completed activities remain available in the historical view. | The user can create a related task, event or note from the opportunity context.",OPP-01 and activity stories,,Draft,,
OPP-05,Opportunities and pipeline,Filter and review the sales pipeline,"As a sales user or manager, I want to filter opportunities by stage, expected close date, account and owner, so that I can focus follow-up effort and identify delayed work.",Should,Proposed CRM capability,MVP 2,Inferred from sales-oriented CRM discussion,"The opportunity list supports the agreed filters and sorting. | Totals/counts are calculated from the filtered result when amount is in scope. | The view clearly distinguishes active, won and lost opportunities.",None identified,,Draft,,
ACT-01,"Tasks, events and history",Create and maintain related tasks,"As a CRM user, I want to create, assign, prioritise, update and complete a task linked to a CRM record, so that follow-up work is visible and accountable.",Must,Confirmed,MVP 1,Project background line 4; Transcript 126-149,"A task records subject, due date, priority, status, assignee and an agreed related record. | The related record can be selected through lookup. | The user can complete or cancel the task while preserving it in history. | Open and overdue tasks are distinguishable in lists.",None identified,,Draft,,
ACT-02,"Tasks, events and history",Create and maintain related events,"As a CRM user, I want to schedule and update an event linked to a CRM record, so that meetings and other scheduled interactions are visible with their customer context.",Must,Confirmed,MVP 1,Project background line 4; Transcript 149-176,"An event records subject, start, end, status and an agreed related record. | The system prevents an end time earlier than its start time. | The user can update or cancel the event and its historical record remains visible. | Recurrence is explicitly deferred unless selected for the MVP.",None identified,,Draft,,
ACT-03,"Tasks, events and history",Display a unified activity timeline,"As a CRM user, I want to see dated tasks, events and interaction notes in one chronological history, so that I can understand what has happened and what is planned for a customer or sale.",Must,Confirmed gap and desired behaviour,MVP 1,Transcript 167-179,"The timeline combines relevant activity types in descending or ascending date order. | Each item displays type, date/time, status, author/assignee and a link to details. | Open and historical items are distinguishable. | The timeline is available from at least account, contact and opportunity detail views.","ACT-01, ACT-02 and ACT-04",,Draft,,
ACT-04,"Tasks, events and history",Record interaction notes,"As a CRM user, I want to add a timestamped note after a call, meeting or other interaction, so that important context is retained for future users.",Must,Confirmed intent,MVP 1,Transcript 171-180,"A note can be added from an agreed related record. | The note stores author, timestamp and content and appears in the activity timeline. | Editing or deleting a note follows the approved audit policy.",None identified,,Draft,,
ACT-05,"Tasks, events and history",Review tasks and events in list/calendar views,"As a CRM user, I want to review upcoming and overdue activities across customers, so that I can plan my workload rather than opening each record separately.",Should,Confirmed list concept; calendar enhancement proposed,MVP 2,Transcript 168-172,"Separate task and event lists show upcoming, overdue and completed/cancelled items. | Filters include date range, assignee, status and related record where applicable. | A calendar presentation is delivered only if selected during refinement.",None identified,,Draft,,
ACT-06,"Tasks, events and history",Notify customers and users about scheduled work,"As a service coordinator, I want to prepare and send or queue an approved notification for a scheduled visit, so that customers and assigned staff know when work is planned.",Could,Optional service-domain requirement,Later,Transcript 286-298,The user can generate a notification draft from an event and related contact data. | The user reviews and confirms the content and recipients before sending. | The CRM records delivery status or a clear failure state in the activity history.,"Email provider, security/privacy decision and ACT-02",,Draft,,
AI-01,AI-enabled workflows,Define a workflow,"As a CRM administrator, I want to define a workflow using a trigger, conditions, ordered steps and approval points, so that repeatable business processes can be configured rather than hard-coded.",Must,Confirmed objective; details pending,MVP 2,Project background lines 1-2; Transcript 392-425,"A workflow has a name, description, trigger, optional conditions, actions, enabled state and version. | The system validates incomplete or unsafe workflow definitions before activation. | A workflow can be saved as draft, activated and disabled by an authorised user.",AI/workflow scope decision and security model,,Draft,,
AI-02,AI-enabled workflows,Draft a workflow from natural-language instructions,"As a CRM administrator, I want to describe a desired process in plain language and receive a structured workflow draft, so that agent assistance reduces the effort needed to set up workflows.",Should,Proposed interpretation of project objective,MVP 2,Project background lines 1-2,"The AI produces a draft using only supported triggers, conditions and actions. | The draft identifies ambiguities and asks for missing required information within the product flow. | Nothing is activated until an authorised user reviews and confirms the structured definition.",AI-01 and approved model/provider,,Draft,,
AI-03,AI-enabled workflows,Execute and monitor a workflow,"As a CRM administrator, I want to run or trigger an active workflow and inspect its status, so that automated work is observable and failures can be corrected.",Must,Confirmed objective; details pending,MVP 2,Project background lines 1-2; Transcript 408-425,"A supported trigger creates a workflow run with a unique identifier. | Each step records start time, end time, outcome and any error without exposing secrets. | Failed runs are visible and can be retried only according to the agreed idempotency rules.",AI-01,,Draft,,
AI-04,AI-enabled workflows,Require human approval for consequential AI actions,"As a CRM user, I want to review an AI-proposed change before it updates records, sends messages or creates commitments, so that AI assistance remains controlled and accountable.",Must,Proposed safety requirement,MVP 2,Inferred from AI-agent integration,"The interface shows the proposed action, affected records and relevant source context. | The user can approve, edit or reject the proposal. | Rejection causes no external or data-changing side effect. | The decision and final action are written to the audit log.",Security and audit stories,,Draft,,
AI-05,AI-enabled workflows,Summarise customer interaction history,"As a CRM user, I want to request a concise summary of recent activities for an account, contact or opportunity, so that I can prepare for an interaction without reading every historical entry.",Should,Proposed high-value use case,MVP 2,Transcript 171-180 and 408-425,The summary is generated from records the user is authorised to view. | The response identifies the date range and links or references the underlying CRM records. | The summary is clearly marked as AI-generated and does not alter source records.,"ACT-03, authentication and approved AI data policy",,Draft,,
AI-06,AI-enabled workflows,Suggest or create a follow-up task from context,"As a CRM user, I want to receive a proposed follow-up task based on notes, events or opportunity state, so that important next actions are less likely to be missed.",Should,Proposed high-value use case,MVP 2,Transcript 126-149 and 408-425,"The proposal includes subject, due date, priority, assignee and related record when inferable. | Uncertain values are surfaced rather than invented silently. | The user confirms or edits the proposal before a task is created.",ACT-01 and AI-04,,Draft,,
AI-07,AI-enabled workflows,Use approved workflow templates,"As a CRM administrator, I want to start from approved workflow templates such as lead follow-up, overdue opportunity and meeting follow-up, so that common processes can be configured quickly and consistently.",Could,Proposed,Later,Inferred from workflow objective,Templates are versioned and identify required configuration values. | Creating from a template produces an editable draft rather than an immediately active workflow. | The template catalogue records owner and intended use.,AI-01,,Draft,,
AI-08,AI-enabled workflows,Optimise a field-service day plan,"As a service coordinator, I want to receive a proposed visit sequence based on location, expected duration and working-hour constraints, so that travel and overtime can be reduced for a service-business use case.",Could,Optional domain example,Later,Transcript 270-298,"The coordinator selects candidate visits and supplies or confirms required constraints. | The system returns a proposal with sequence, estimated travel/service time and any unassigned work. | The coordinator can edit and approve the plan before events are changed.","Confirmed vertical, geocoding/routing service, event duration and location data",,Draft,,
SEC-01,Security and administration,Authenticate users,"As an authorised user, I want to sign in and sign out securely, so that CRM information is not exposed to unauthorised people.",Must,Confirmed gap,MVP 1 or 2,Transcript 202-208,Unauthenticated users cannot access protected CRM data or actions. | Credentials and sessions are handled using the selected framework’s secure mechanisms. | Sign-out invalidates the active session or token.,None identified,"For a local prototype, any temporary single-user mode must be explicitly approved and must not be used with real data.",Draft,,
SEC-02,Security and administration,Authorise by role,"As a CRM administrator, I want to assign roles that control administrative and standard-user actions, so that users receive only the permissions needed for their work.",Must,Confirmed gap,MVP 2,Transcript 196-208,"The product owner approves the initial role/permission matrix. | Server-side checks enforce permission rules; hiding a button alone is insufficient. | A denied action returns a clear, non-sensitive message and is auditable where appropriate.",SEC-01,,Draft,,
SEC-03,Security and administration,Manage user accounts,"As a CRM administrator, I want to create, deactivate and assign roles to users, so that access remains current as the organisation changes.",Should,Confirmed need at concept level,MVP 2,Transcript 192-208,An administrator can create and deactivate a user without deleting historical authorship. | Role changes take effect according to the approved session policy. | The system prevents removal of the final active administrator.,SEC-01 and SEC-02,,Draft,,
SEC-04,Security and administration,Audit data and workflow changes,"As an administrator or reviewer, I want to see who changed critical records or approved AI actions and when, so that the system is accountable and problems can be investigated.",Must,Proposed quality requirement,MVP 2,Inferred from multi-user and AI requirements,"The audit log records actor, timestamp, action, record/workflow identifier and outcome for agreed events. | Sensitive values and secrets are not copied into audit messages. | Ordinary users cannot alter audit records.",Authentication and AI workflow implementation,,Draft,,
SEC-05,Security and administration,Control CRM data sent to AI services,"As a product owner or administrator, I want to configure and document what CRM data may be processed by an AI provider, so that privacy, confidentiality and client expectations are respected.",Must,Proposed safety requirement,Before AI production use,Inferred from AI-enabled CRM objective,"The approved provider, data categories and retention assumptions are documented. | The system sends only the minimum context needed for the selected AI task. | Users are warned or blocked when a request would include data outside the approved policy.",Client/university privacy decision and model/provider selection,,Draft,,
NFR-01,Quality attributes,Use the CRM on common screen sizes,"As a desktop or mobile user, I want to use core CRM workflows on common laptop, tablet and phone widths, so that field and office users can access the system without clipped or unusable layouts.",Should,Confirmed concern,MVP 2,Transcript 196-201 and 550-559,"Core MVP pages have no horizontal clipping at agreed viewport widths. | Forms, navigation and tables remain usable with keyboard and touch input. | The team records supported browsers and viewport targets.",None identified,,Draft,,
EXT-01,Extensions,Create a quote from an opportunity,"As a sales user, I want to create and maintain a quote linked to an opportunity, so that a qualified sale can progress to a priced proposal.",Should,Confirmed existing concept; not in initial schema brief,Later or MVP 2,Transcript 157-167,"A quote links to an opportunity and relevant account/contact records. | The quote stores an agreed date, status and amount fields. | Related tasks, events and history are visible from the quote.",Product-owner confirmation that quotes are in scope,,Draft,,
EXT-02,Extensions,Attach documents to CRM records,"As a CRM user, I want to upload and retrieve documents associated with supported records, so that proposals, service material and other evidence remain with the customer context.",Could,Confirmed concept; implementation absent,Later,Transcript 192-205,"The product owner confirms allowed record types, file types and size limits. | Authorised users can upload, download and remove or supersede a document according to policy. | Metadata records uploader, date, filename and related record.","Storage, security and malware-scanning decisions",,Draft,,
EXT-03,Extensions,Run basic reports and exports,"As a manager or CRM user, I want to review and export agreed CRM summaries, so that the organisation can monitor activity and pipeline data outside individual records.",Could,Existing placeholders mentioned; requirements unclear,Later,Transcript 186-201,The product owner selects a small set of report questions before implementation. | Reports use authorised data and clearly state filters/date ranges. | Exports use an agreed safe format and do not expose fields the user cannot view in the application.,Confirmed reporting questions and role model,,Draft,,
EXT-04,Extensions,Manage cases or contracts,"As a future CRM user, I want to manage support cases or service contracts linked to customers, so that the CRM can later support post-sale service processes.",Won’t in initial MVP,Optional future concept,Future,Transcript 319-324,No implementation begins until a specific business process and product-owner priority are supplied. | Any future design reuses the core account/contact/activity model where appropriate.,None identified,,Draft,,
